Device/Host,Interface,VLAN,IPv4 Address/Prefix,IPv4 Category,IPv4 Gateway/Next-Hop,IPv6 Address/Prefix,IPv6 Category,IPv6 Gateway/Next-Hop,Assignment Type,MAC Address,Description/Purpose
Web Server,eth1,None (L3/WAN),198.51.100.10/24,Public (Simulated Internet),198.51.100.1,2001:db8:100::10/64,Public (Global Unicast),2001:db8:100::1,Static,N/A,Internet Web Server (HTTP Dual-Stack Hello World)
R5,Ethernet1,None (L3/WAN),198.51.100.1/24,Public (Simulated Internet),Directly Connected,2001:db8:100::1/64,Public (Global Unicast),Directly Connected,Static,N/A,PE Router Gateway for Internet Web Server
R5,Ethernet2,None (L3/WAN),172.16.35.2/30,Private (RFC 1918),172.16.35.1 (R3),2001:db8:35::2/64,Public (Global Unicast),2001:db8:35::1 (R3),Static,N/A,PE-CE Point-to-Point Uplink to R3 (eBGP AS 65005 <-> 65001)
R5,Ethernet3,None (L3/WAN),172.16.45.2/30,Private (RFC 1918),172.16.45.1 (R4),2001:db8:45::2/64,Public (Global Unicast),2001:db8:45::1 (R4),Static,N/A,PE-CE Point-to-Point Uplink to R4 (eBGP AS 65005 <-> 65001)
R5,Management1,MGMT,172.20.20.15/24,Private Management,172.20.20.1,2001:db8:ffff::e/64,Documentation / MGMT,N/A,Static / Containerlab,N/A,Out-of-Band Management Interface
R3,Ethernet1,None (L3/WAN),172.16.35.1/30,Private (RFC 1918),172.16.35.2 (R5),2001:db8:35::1/64,Public (Global Unicast),2001:db8:35::2 (R5),Static,N/A,ASBR Core Uplink to R5 (eBGP AS 65001 <-> 65005)
R3,Ethernet2,None (L3 Core),10.0.0.3/24,Private (RFC 1918),Directly Connected,2001:db8:0::3/64,Public (Global Unicast),Directly Connected,Static,N/A,Core Backbone OSPF Area 0 / OSPFv3 Interface
R3,Management1,MGMT,172.20.20.13/24,Private Management,172.20.20.1,2001:db8:ffff::a/64,Documentation / MGMT,N/A,Static / Containerlab,N/A,Out-of-Band Management Interface
R4,Ethernet1,None (L3/WAN),172.16.45.1/30,Private (RFC 1918),172.16.45.2 (R5),2001:db8:45::1/64,Public (Global Unicast),2001:db8:45::2 (R5),Static,N/A,ASBR Core Uplink to R5 (eBGP AS 65001 <-> 65005)
R4,Ethernet2,None (L3 Core),10.0.0.4/24,Private (RFC 1918),Directly Connected,2001:db8:0::4/64,Public (Global Unicast),Directly Connected,Static,N/A,Core Backbone OSPF Area 0 / OSPFv3 Interface
R4,Management1,MGMT,172.20.20.14/24,Private Management,172.20.20.1,2001:db8:ffff::9/64,Documentation / MGMT,N/A,Static / Containerlab,N/A,Out-of-Band Management Interface
R1,Ethernet1,None (L3 Core),10.0.0.1/24,Private (RFC 1918),Directly Connected,2001:db8:0::1/64,Public (Global Unicast),Directly Connected,Static,N/A,Core Uplink to OSPF Area 0 / OSPFv3 Backbone
R1,Ethernet2.10,10,10.10.10.1/24,Private (RFC 1918),Directly Connected,2001:db8:10::1/64,Public (Global Unicast),Directly Connected,Static,N/A,VLAN 10 Primary Default Gateway / RIPv2
R1,Ethernet2.20,20,10.10.20.1/24,Private (RFC 1918),Directly Connected,2001:db8:20::1/64,Public (Global Unicast),Directly Connected,Static,N/A,VLAN 20 Primary Default Gateway / RIPv2
R1,Management1,MGMT,172.20.20.11/24,Private Management,172.20.20.1,2001:db8:ffff::5/64,Documentation / MGMT,N/A,Static / Containerlab,N/A,Out-of-Band Management Interface
